GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel
21,2026.02.26,White,moeid14,Loss,180+2,moeid14 won on time,77,Endgame,d4d5,-432,-963,531,531,Blunder
21,2026.02.26,White,moeid14,Loss,180+2,moeid14 won on time,83,Endgame,d5d7,9999,-538,10537,1000,Blunder
23,2026.02.26,White,ProgressMaharjan,Loss,180+2,ProgressMaharjan won by checkmate,41,Middlegame,c3b5,343,-70,413,413,Blunder
23,2026.02.26,White,ProgressMaharjan,Loss,180+2,ProgressMaharjan won by checkmate,43,Middlegame,e1d1,42,-327,369,369,Blunder
23,2026.02.26,White,ProgressMaharjan,Loss,180+2,ProgressMaharjan won by checkmate,63,Endgame,b7a5,-35,-475,440,440,Blunder
23,2026.02.26,White,ProgressMaharjan,Loss,180+2,ProgressMaharjan won by checkmate,67,Endgame,e2d3,-612,-9999,9387,1000,Blunder
25,2026.02.27,White,CThom173,Loss,180+2,CThom173 won by checkmate,51,Endgame,d3e2,-133,-534,401,401,Blunder
25,2026.02.27,White,CThom173,Loss,180+2,CThom173 won by checkmate,65,Endgame,f1f3,-728,-9998,9270,1000,Blunder
25,2026.02.27,White,CThom173,Loss,180+2,CThom173 won by checkmate,67,Endgame,f3h3,-879,-9999,9120,1000,Blunder
26,2026.02.27,White,Two_IPhone,Loss,180+2,Two_IPhone won on time,29,Middlegame,e2g2,362,-405,767,767,Blunder
26,2026.02.27,White,Two_IPhone,Loss,180+2,Two_IPhone won on time,37,Middlegame,a5c6,-280,-631,351,351,Blunder
29,2026.02.27,White,Jackdypro,Win,600,KatsMeow23 won by resignation,65,Endgame,g5g6,9995,1131,8864,1000,Blunder
30,2026.02.27,Black,Mhunz-Gambit,Win,600,KatsMeow23 won by checkmate,82,Endgame,f4g3,9997,906,9091,1000,Blunder
31,2026.02.27,White,Ajax992,Win,600,KatsMeow23 won by checkmate,23,Middlegame,e1g1,122,-415,537,537,Blunder
31,2026.02.27,White,Ajax992,Win,600,KatsMeow23 won by checkmate,25,Middlegame,f2f4,153,-408,561,561,Blunder
32,2026.02.27,Black,facucolombo,Win,600,KatsMeow23 won by resignation,48,Middlegame,e4g5,905,160,745,745,Blunder
32,2026.02.27,Black,facucolombo,Win,600,KatsMeow23 won by resignation,58,Middlegame,h2d6,302,-168,470,470,Blunder
32,2026.02.27,Black,facucolombo,Win,600,KatsMeow23 won by resignation,62,Endgame,h8h5,37,-275,312,312,Blunder
33,2026.02.27,Black,SilverMike,Win,600,KatsMeow23 won by resignation,20,Opening,e8g8,-81,-399,318,318,Blunder
34,2026.02.27,Black,KR_YOU,Win,600,KatsMeow23 won by resignation,58,Endgame,g4h3,450,-697,1147,1000,Blunder
36,2026.02.27,White,M_R_Dharun,Win,600,KatsMeow23 won by checkmate,13,Opening,c1f4,643,262,381,381,Blunder
36,2026.02.27,White,M_R_Dharun,Win,600,KatsMeow23 won by checkmate,17,Opening,a2a4,613,233,380,380,Blunder
36,2026.02.27,White,M_R_Dharun,Win,600,KatsMeow23 won by checkmate,29,Middlegame,e4e5,434,33,401,401,Blunder
36,2026.02.27,White,M_R_Dharun,Win,600,KatsMeow23 won by checkmate,31,Middlegame,b3f7,41,-302,343,343,Blunder
37,2026.02.27,White,redfernangel,Loss,600,redfernangel won by resignation,21,Middlegame,e5e6,221,-182,403,403,Blunder
37,2026.02.27,White,redfernangel,Loss,600,redfernangel won by resignation,29,Middlegame,c1g5,5,-574,579,579,Blunder
37,2026.02.27,White,redfernangel,Loss,600,redfernangel won by resignation,31,Middlegame,b1c3,-141,-538,397,397,Blunder
37,2026.02.27,White,redfernangel,Loss,600,redfernangel won by resignation,41,Endgame,g4h4,-397,-9996,9599,1000,Blunder
38,2026.02.27,Black,zaneharb08,Loss,180+2,zaneharb08 won on time,34,Middlegame,c6d4,263,-250,513,513,Blunder
39,2026.02.27,White,anShhh17,Win,180+2,KatsMeow23 won on time,27,Middlegame,h4e7,508,85,423,423,Blunder
39,2026.02.27,White,anShhh17,Win,180+2,KatsMeow23 won on time,113,Middlegame,b4b5,9999,753,9246,1000,Blunder
39,2026.02.27,White,anShhh17,Win,180+2,KatsMeow23 won on time,115,Middlegame,a7c7,749,310,439,439,Blunder
40,2026.02.27,Black,Giecchio,Loss,180+2,Giecchio won by resignation,32,Middlegame,d7e6,271,-578,849,849,Blunder
41,2026.02.28,White,timmy52514,Win,180+2,KatsMeow23 won - game abandoned,21,Middlegame,e1g1,164,-506,670,670,Blunder
43,2026.02.28,White,Igor_Sant_ana,Loss,180+2,Igor_Sant_ana won by checkmate,17,Opening,f1d3,101,-293,394,394,Blunder
43,2026.02.28,White,Igor_Sant_ana,Loss,180+2,Igor_Sant_ana won by checkmate,25,Middlegame,g2g3,627,-41,668,668,Blunder
43,2026.02.28,White,Igor_Sant_ana,Loss,180+2,Igor_Sant_ana won by checkmate,27,Middlegame,f1g2,565,-71,636,636,Blunder
43,2026.02.28,White,Igor_Sant_ana,Loss,180+2,Igor_Sant_ana won by checkmate,29,Middlegame,f3e3,572,28,544,544,Blunder
43,2026.02.28,White,Igor_Sant_ana,Loss,180+2,Igor_Sant_ana won by checkmate,31,Middlegame,e4e5,299,-193,492,492,Blunder
43,2026.02.28,White,Igor_Sant_ana,Loss,180+2,Igor_Sant_ana won by checkmate,35,Middlegame,g2f1,-176,-9999,9823,1000,Blunder
44,2026.02.28,Black,Abdelazizdj,Win,180+2,KatsMeow23 won on time,16,Opening,b2b4,-210,-512,302,302,Blunder
45,2026.02.28,Black,HAYDARTAABATA123456789,Win,180+2,KatsMeow23 won by resignation,72,Endgame,g5e4,9997,753,9244,1000,Blunder
46,2026.02.28,White,chovochobo,Loss,600,chovochobo won by resignation,33,Middlegame,e2g4,-257,-637,380,380,Blunder
47,2026.02.28,Black,vivekmhw,Win,600,KatsMeow23 won by resignation,18,Opening,d8c7,-107,-540,433,433,Blunder
48,2026.02.28,Black,Narciso59,Loss,600,Narciso59 won by resignation,22,Middlegame,f4g2,31,-279,310,310,Blunder
48,2026.02.28,Black,Narciso59,Loss,600,Narciso59 won by resignation,26,Middlegame,f6g6,220,-340,560,560,Blunder
